V,Thrust,diameter,pitch,rpm
16.7,1.652,0.381,12.0,3000
33.2,2.284,0.2032,4.0,15000
6.0,1.068,0.3556,12.0,3000
47.2,4.155,0.254,10.0,10000
84.7,5.957,0.381,12.0,8000
74.9,6.419,0.1778,6.0,24000
81.0,3.36,0.3429,13.5,7000
35.5,7.332,0.1651,6.5,33000
41.2,1.293,0.1397,2.5,25000
3.1,9.745,0.4191,12.0,6000
130.2,2.266,0.19812,7.0,19000
20.7,25.502,0.381,14.0,12000
104.3,4.932,0.2286,4.0,24000
32.5,2.084,0.1778,5.0,15000
145.9,18.587,0.5334,13.5,10000
116.2,8.407,0.4064,12.0,10000
145.2,1.722,0.3175,12.0,11000
2.1,1.519,0.2286,6.0,8000
74.8,20.658,0.2794,8.0,20000
10.1,1.202,0.3937,12.0,2000
48.3,18.943,0.3937,12.0,8000
11.3,3.834,0.508,10.0,3000
60.7,3.747,0.1651,6.5,25000
87.7,7.024,0.22225,8.25,20000
30.8,9.36,0.3175,9.0,10000
101.9,3.453,0.2794,12.0,10000
197.3,3.954,0.19812,6.0,29000
47.8,3.013,0.2286,3.0,17000
30.2,18.522,0.4318,8.0,9000
157.7,1.705,0.13208,6.0,30000
89.7,3.284,0.12065,4.75,40000
96.7,2.769,0.2286,3.7,20000
22.8,1.28,0.23495,5.25,9000
51.7,4.21,0.4064,14.0,5000
21.7,2.425,0.2667,6.0,8000
28.1,4.646,0.2032,5.0,18000
97.7,5.393,0.1524,4.3,32000
106.1,6.9,0.2794,7.0,16000
99.3,22.207,0.3302,13.5,15000
9.6,6.992,0.2286,6.5,16000
85.6,14.77,0.2794,10.0,16000
2.3,1.928,0.1778,3.8,12000
64.4,10.189,0.3302,8.0,12000
49.5,17.983,0.3302,10.0,13000
10.7,4.151,0.2032,3.75,19000
2.0,1.22,0.3048,12.0,4000
96.4,2.904,0.12065,4.5,38000
45.9,2.94,0.22352,9.75,13000
79.8,28.547,0.5588,10.0,9000
55.6,22.687,0.3302,13.0,15000
74.7,48.107,0.5588,10.0,10000
46.8,12.801,0.381,10.0,9000
10.0,5.741,0.1778,5.0,23000
102.6,3.998,0.13335,4.75,36000
125.7,3.212,0.508,15.0,7000
176.1,26.37,0.508,16.0,10000
37.7,7.912,0.22352,9.0,20000
45.5,3.921,0.1016,4.0,41000
68.7,6.018,0.2794,8.5,12000
77.5,2.709,0.254,10.0,10000
10.3,3.316,0.1651,2.9,25000
70.1,1.187,0.127,5.0,23000
53.7,4.792,0.4953,11.5,5000
68.0,9.712,0.381,13.0,8000
57.4,23.049,0.4953,11.5,8000
16.1,7.199,0.3302,8.0,9000
63.2,12.385,0.2921,6.0,16000
30.9,1.53,0.5461,10.0,3000
63.9,43.442,0.5588,10.0,9000
16.5,18.193,0.381,5.5,11000
25.3,7.865,0.3048,8.0,10000
0.0,3.532,0.3937,12.5,4000
33.7,2.654,0.2286,3.8,12000
25.2,1.979,0.3556,12.0,4000
101.4,3.427,0.22225,9.0,15000
64.9,6.345,0.22225,9.25,19000
9.8,4.132,0.508,10.0,3000
74.5,29.804,0.3302,10.0,18000
29.2,1.221,0.2794,7.0,6000
140.7,6.011,0.5207,13.5,9000
110.5,1.439,0.1143,3.5,37000
23.7,12.039,0.3556,4.7,10000
133.0,7.861,0.3429,13.3,11000
52.2,1.555,0.1651,5.0,17000
54.1,4.797,0.2032,4.0,21000
50.9,5.375,0.2413,6.5,15000
163.1,9.533,0.22225,9.0,23000
15.5,3.644,0.381,13.5,4000
47.7,4.038,0.1778,5.0,20000
80.4,1.206,0.254,8.0,10000
19.3,7.217,0.18796,7.6,22000
21.2,1.044,0.10668,2.0,32000
55.0,9.011,0.2794,8.0,13000
34.3,4.892,0.381,7.0,7000
28.6,2.53,0.3048,4.5,8000
18.9,2.61,0.22225,7.0,12000
26.5,4.446,0.2032,4.0,18000
44.8,2.16,0.254,6.0,10000
87.3,17.188,0.4191,12.0,10000
11.6,6.034,0.3302,5.5,9000
94.0,1.898,0.1397,4.5,28000
76.1,1.843,0.3429,13.3,6000
69.4,1.47,0.1524,3.0,24000
107.5,4.595,0.13208,6.0,42000
99.6,8.803,0.254,6.0,20000
85.0,7.28,0.1778,6.0,26000
105.0,7.308,0.3048,12.0,11000
169.5,2.88,0.3556,14.0,11000
14.9,5.273,0.3556,6.0,7000
130.2,2.67,0.22225,7.5,17000
13.0,3.027,0.18796,7.5,15000
72.1,2.18,0.22225,7.5,12000
0.0,7.941,0.19812,4.0,23000
47.0,3.772,0.12065,4.0,40000
50.0,3.207,0.3175,10.0,7000
179.4,20.028,0.4064,14.0,13000
36.2,4.557,0.254,5.0,13000
12.4,5.062,0.4572,12.0,4000
159.1,4.26,0.45974,11.0,12000
60.1,10.421,0.2794,8.5,13999
23.3,2.763,0.1778,6.5,13000
117.9,3.07,0.3048,8.5,13000
40.6,7.615,0.1778,6.0,26999
106.0,13.971,0.3048,10.0,15000
131.9,4.744,0.1524,5.5,33000
29.7,5.969,0.3302,13.0,8000
35.7,4.94,0.2286,4.0,17000
5.3,7.078,0.508,15.0,4000
36.3,1.338,0.22225,8.75,9000
103.3,6.303,0.1778,7.0,26000
0.0,1.622,0.1778,3.8,11000
76.9,1.194,0.381,11.0,6000
5.2,4.099,0.3556,5.5,6000
16.2,3.111,0.254,4.7,9000
48.4,11.816,0.3556,5.5,12000
16.7,3.154,0.4826,14.0,3000
44.4,2.761,0.22225,9.25,13000
9.6,8.016,0.254,6.0,12000
18.9,8.807,0.3048,8.0,11000
25.2,1.716,0.1778,4.0,13999
138.1,5.257,0.1778,9.0,23000
6.7,9.825,0.2286,8.5,18000
20.1,1.491,0.1778,6.0,12000
44.2,2.347,0.1651,3.7,22000
0.0,7.549,0.1905,2.5,28000
18.8,2.378,0.3048,4.0,8000
61.0,1.765,0.4572,11.0,5000
59.1,4.645,0.4318,7.0,8000
18.5,1.492,0.254,6.0,7000
0.0,6.034,0.2032,4.0,19000
48.9,1.597,0.1524,2.0,28000
15.7,3.618,0.1524,4.5,22000
71.9,2.769,0.127,4.0,28000
51.6,4.762,0.5207,10.5,5000
3.6,1.351,0.254,7.0,6000
39.4,23.593,0.4572,12.0,9000
69.4,3.345,0.1524,4.0,29000
78.4,2.341,0.1524,4.0,26999
87.5,18.854,0.4572,10.0,10000
9.9,1.444,0.508,10.0,2000
6.5,2.267,0.1778,5.0,15000
54.2,10.587,0.4572,5.5,9000
70.6,5.01,0.381,12.0,7000
2.4,3.374,0.3048,8.0,7000
51.9,1.123,0.1524,4.3,16000
72.7,3.05,0.2286,5.0,17000
121.5,3.267,0.13335,4.75,35000
0.0,6.148,0.22225,8.75,19000
48.6,1.751,0.23495,5.5,12000
133.6,1.468,0.2159,7.5,17000
135.3,1.71,0.22225,9.0,15000
122.7,2.048,0.23495,5.75,20000
11.6,3.566,0.1397,2.5,33000
23.2,1.694,0.22225,7.75,10000
78.6,7.216,0.22225,8.25,20000
36.5,5.273,0.1651,6.0,29000
34.4,3.589,0.3048,11.0,7000
0.0,5.587,0.3429,10.0,7000
23.8,22.305,0.508,10.5,7000
34.7,1.016,0.1143,4.1,24000
50.1,3.558,0.254,3.8,13000
5.9,1.75,0.12065,4.5,30000
0.0,6.276,0.3683,11.0,5000
12.9,4.961,0.2032,6.0,15000
28.0,48.444,0.508,13.0,10000
106.9,1.918,0.13335,4.75,29000
41.8,2.553,0.4191,13.0,4000
68.4,2.047,0.127,4.0,25000
69.3,20.486,0.3302,13.5,13999
81.9,7.6,0.2413,4.5,22000
11.0,1.556,0.127,4.0,17000
6.9,1.896,0.3048,11.5,5000
18.4,22.256,0.34036,13.5,11000
15.1,2.538,0.1397,4.5,26999
61.3,5.737,0.1778,6.0,23000
10.2,1.578,0.3302,10.0,4000
23.9,17.295,0.508,15.0,6000
63.8,52.839,0.508,16.0,11000
111.7,3.298,0.22225,8.25,16000
74.5,2.078,0.1143,4.0,34000
36.6,7.716,0.22352,8.75,20000
0.0,9.574,0.3683,13.0,7000
67.9,3.402,0.4572,8.0,7000
26.2,2.837,0.12065,5.5,38000
27.2,1.931,0.2286,8.0,9000
13.0,64.222,0.508,8.0,11000
131.0,3.459,0.22225,8.5,17000
38.7,2.831,0.1778,7.0,17000
11.4,11.126,0.3048,13.0,11000
7.5,19.622,0.3302,4.7,13000
82.8,5.15,0.36576,12.0,8000
181.1,17.726,0.2794,14.0,18000
31.9,1.348,0.3302,13.0,4000
69.7,9.178,0.3302,4.5,15000
23.0,11.319,0.4191,13.0,7000
86.0,10.265,0.3175,12.0,11000
35.4,1.317,0.3302,6.5,6000
58.0,5.79,0.1778,3.0,32000
53.3,5.07,0.2159,7.0,18000
50.8,4.776,0.508,8.0,6000
82.5,10.229,0.381,12.0,10000
47.4,1.84,0.2794,14.0,6000
23.5,1.584,0.3048,8.0,5000
34.3,5.26,0.4064,4.0,9000
106.9,1.264,0.22225,7.75,13000
107.7,2.461,0.1397,2.5,42000
52.1,18.865,0.381,10.0,11000
23.8,6.853,0.2413,7.0,16000
0.0,4.81,0.1397,4.5,36000
38.2,14.746,0.254,10.0,18000
6.3,6.047,0.4572,6.0,5000
15.3,3.988,0.4318,12.0,4000
21.9,19.793,0.3048,5.5,16000
20.9,1.209,0.2413,7.0,7000
226.9,1.403,0.2286,8.5,22000
28.7,4.595,0.381,6.0,7000
0.0,1.237,0.11938,4.2,25000
18.1,4.0,0.3048,12.5,7000
9.4,12.083,0.508,10.0,5000
17.8,1.18,0.22225,8.5,8000
143.6,44.993,0.508,15.0,11000
92.0,3.448,0.1143,4.0,42000
68.7,5.262,0.2286,6.0,16000
7.9,2.21,0.23495,5.5,11000
124.0,1.753,0.2032,7.0,18000
32.4,5.403,0.2286,3.7,17000
0.0,54.033,0.45974,11.0,12000
33.5,1.563,0.1016,4.5,31000
114.3,8.95,0.22225,8.0,21000
50.7,10.053,0.2413,7.0,19000
17.2,24.876,0.4699,9.5,8000
16.6,2.386,0.12065,4.0,33000
62.1,1.943,0.2286,6.0,11000
26.6,1.325,0.508,8.0,3000
129.8,1.223,0.1778,6.0,19000
81.7,55.945,0.5334,13.5,10000
1.9,9.508,0.4572,6.0,6000
80.6,8.486,0.31115,3.75,19000
25.5,2.472,0.1524,3.0,25000
34.6,3.398,0.1524,5.5,26000
12.9,3.77,0.4572,8.0,4000
130.5,3.493,0.3556,13.5,9000
142.6,3.467,0.127,5.0,39000
13.2,1.547,0.19812,7.0,11000
20.8,5.513,0.4699,12.0,4000
114.1,3.458,0.1524,6.0,28000
47.9,7.973,0.45974,11.0,6000
88.2,2.914,0.22225,8.25,13999
33.6,4.463,0.2794,3.8,11000
0.0,2.374,0.12065,4.75,35000
102.2,9.229,0.2159,5.5,25000
0.0,1.501,0.3937,13.0,3000
10.4,2.139,0.2413,4.5,10000
8.7,6.62,0.4064,8.0,6000
59.4,4.235,0.4699,9.5,6000
17.5,20.17,0.3048,5.5,16000
13.5,7.012,0.2032,3.75,24000
105.7,6.925,0.2794,5.5,18000
81.5,3.285,0.2032,4.5,20000
59.8,8.718,0.3683,12.0,7000
21.5,1.696,0.1651,6.0,17000
20.0,4.318,0.508,8.0,4000
105.1,41.328,0.4572,12.0,12000
52.3,8.007,0.1524,6.0,37000
175.1,3.851,0.1778,6.5,25000
42.5,1.461,0.1778,5.0,13999
45.1,1.363,0.3556,13.0,4000
61.3,5.762,0.2286,6.0,17000
43.6,3.454,0.18796,7.8,16000
20.6,3.22,0.12954,5.0,34000
43.5,1.105,0.10414,4.1,30000
33.9,2.585,0.18796,7.8,13999
19.7,3.939,0.4318,12.0,4000
116.2,1.516,0.19812,6.0,18000
121.5,1.264,0.4064,10.0,10000
16.6,1.531,0.12065,4.5,28000
100.3,1.197,0.254,6.0,13999
54.5,6.411,0.1778,6.0,24000
49.9,15.399,0.3048,11.0,13999
114.7,4.965,0.2794,13.0,11000
83.2,8.571,0.508,8.0,9000
35.2,1.142,0.1397,2.5,23000
118.4,10.196,0.254,8.0,19000
9.9,6.063,0.3048,10.0,8000
56.6,2.658,0.19812,6.0,15000
7.4,1.353,0.254,10.0,6000
0.0,11.882,0.2286,9.0,20000
29.3,9.059,0.2667,4.5,17000
50.1,4.924,0.3302,6.5,10000
131.0,5.167,0.2286,6.0,20000
59.0,6.087,0.254,5.5,15000
19.1,1.801,0.127,5.0,32000
79.7,3.93,0.381,10.0,8000
30.4,5.159,0.22352,8.5,17000
104.4,3.901,0.22225,7.5,17000
0.0,6.501,0.3048,9.0,9000
134.1,2.86,0.1778,5.0,26999
109.7,2.058,0.127,4.3,31000
74.9,1.528,0.1651,5.0,19000
53.2,5.909,0.19812,4.0,24000
5.0,16.881,0.5588,11.0,5000
61.3,1.368,0.1397,2.5,29000
78.7,4.608,0.3556,6.0,12000
24.1,16.376,0.3556,8.0,11000
55.9,9.488,0.4572,14.0,6000
8.4,14.852,0.3937,12.5,8000
135.5,2.488,0.3175,11.5,11000
138.0,20.693,0.2794,12.0,19000
96.1,2.242,0.2794,9.0,10000
16.8,4.718,0.22225,7.5,17000
20.2,20.276,0.4318,8.0,9000
87.3,12.76,0.22225,7.5,24000
59.4,10.668,0.254,6.0,16000
26.9,2.112,0.1651,5.5,19000
24.1,3.24,0.3048,6.0,8000
144.9,3.956,0.2286,7.0,21000
74.2,30.11,0.4826,16.0,9000
24.8,8.291,0.254,3.0,19000
70.7,19.89,0.5207,10.5,8000
0.0,2.882,0.19812,6.0,15000
30.2,20.791,0.2794,5.5,19000
123.8,2.633,0.1016,4.5,43000
48.3,1.227,0.1651,3.7,18000
29.1,1.25,0.3048,8.5,5000
21.2,7.348,0.1778,6.0,25000
14.6,1.612,0.2286,7.5,7000
98.1,3.227,0.18796,7.8,18000
51.9,39.538,0.4572,12.0,12000
55.3,1.352,0.1524,4.0,20000
76.2,2.464,0.3302,7.0,10000
8.3,1.425,0.4826,16.0,2000
81.1,7.408,0.19812,4.0,28000
48.8,1.252,0.4064,7.0,6000
72.1,3.064,0.1524,5.5,25000
198.8,2.539,0.3302,10.0,17000
24.2,4.936,0.1651,3.7,29000
7.9,1.617,0.508,12.0,2000
51.3,11.432,0.2286,5.0,23000
196.3,1.572,0.1524,5.5,34000
91.1,1.315,0.2413,6.0,13999
42.3,2.827,0.2286,3.0,16000
1.3,2.222,0.4318,10.0,3000
43.5,3.474,0.14478,3.0,32000
30.4,14.755,0.254,3.0,24000
97.9,11.185,0.4064,16.0,8000
43.0,10.977,0.4064,4.0,12000
34.6,12.177,0.3048,8.0,11000
5.7,1.82,0.1905,2.5,16000
12.3,1.951,0.1016,4.5,34000
0.0,7.479,0.127,4.0,36000
66.9,2.272,0.254,6.0,12000
6.5,1.079,0.2667,4.5,6000
41.1,15.007,0.2413,4.5,25000
29.7,8.2,0.2413,8.5,17000
22.4,1.5,0.4318,10.0,3000
